交易所,产品,业务类型,价格类型,指令类型,price_type,contingent_condition,time_condition,volume_condition,备注
郑商所,期货,单腿,限价单,限价,LIMIT,IMMEDIATELY,THOST_FTDC_TC_GFD,ANY,
,,,,FAK,LIMIT,IMMEDIATELY,IOC,ANY,
,,,市价单,市价,ANY,IMMEDIATELY,GFD,ANY,剩余未成交部分不允许挂单。
,,,,FAK,ANY,IMMEDIATELY,IOC,ANY,
,,跨期套利,限价单,限价,LIMIT,IMMEDIATELY,GFD,ANY,
,,,,FAK,ANY,IMMEDIATELY,IOC,ANY,
,,跨品种套利,限价单,限价,LIMIT,IMMEDIATELY,GFD,ANY,
,,,,FAK,ANY,IMMEDIATELY,IOC,ANY,
,,互换,限价单,限价,LIMIT,IMMEDIATELY,GFD,ANY,"IsSwapOrder=True, CombOffsetFlag=”01″或”10″"
,,,,FAK,ANY,IMMEDIATELY,IOC,ANY,"IsSwapOrder=True, CombOffsetFlag=”01″或”10″"
,期权,单腿,限价单,限价,LIMIT,IMMEDIATELY,GFD,ANY,
,,,,FAK,LIMIT,IMMEDIATELY,IOC,ANY,
,,,,FOK,LIMIT,IMMEDIATELY,IOC,ALL,
,,,市价单,市价,ANY,IMMEDIATELY,GFD,ANY,剩余未成交部分不允许挂单。
,,,,FAK,ANY,IMMEDIATELY,IOC,ANY,
,,,,FOK,ANY,IMMEDIATELY,IOC,ALL,
,,跨式套利,限价单,FAK,ANY,IMMEDIATELY,IOC,ANY,
,,,,FOK,ANY,IMMEDIATELY,IOC,ALL,
,,宽跨式套利,限价单,FAK,ANY,IMMEDIATELY,IOC,ANY,
,,,,FOK,ANY,IMMEDIATELY,IOC,ALL,
大商所,期货,单腿,限价单,限价,LIMIT,IMMEDIATELY,GFD,ANY,
,,,,FAK,LIMIT,IMMEDIATELY,IOC,ANY,
,,,,FOK,LIMIT,IMMEDIATELY,IOC,ALL,
,,,,止损,ANY,TOUCH,GFD,ANY,
,,,,止盈,ANY,TOUCHPROFIT,GFD,ANY,
,,,市价单,市价,ANY,IMMEDIATELY,GFD,ANY,市价单，剩余未成交部分转为涨跌停价限价单
,,,,FAK,ANY,IMMEDIATELY,IOC,ANY,
,,,,FOK,ANY,IMMEDIATELY,IOC,ALL,
,,,,止损,ANY,TOUCH,GFD,ANY,当市场最新价触及投资者预先设定止损价（或止盈价）时，指令立即转为市价指令。
,,,,止盈,ANY,TOUCHPROFIT,GFD,ANY,
,,套利,限价单,限价,LIMIT,IMMEDIATELY,GFD,ANY,大连套利单不支持限价fak fok。
,,互换,限价单,限价,LIMIT,IMMEDIATELY,GFD,ANY,"IsSwapOrder=True, , CombOffsetFlag=”01″或”10″, 大连互换单不支持限价fak fok。"
,期权,单腿,限价单,限价,LIMIT,IMMEDIATELY,GFD,ANY,
,,,,FAK,LIMIT,IMMEDIATELY,IOC,ANY,
,,,,FOK,LIMIT,IMMEDIATELY,IOC,ALL,
,,,,止损,ANY,TOUCH,GFD,ANY,
,,,,止盈,ANY,TOUCHPROFIT,GFD,ANY,
上期所,期货/期权,单腿,限价单,限价,LIMIT,IMMEDIATELY,GFD,ANY,
,,,,FAK任意成交数量,LIMIT,IMMEDIATELY,IOC,ANY,
,,,,FAK指定成交数量,LIMIT,IMMEDIATELY,IOC,MIN,MinVolume填非0值
,,,,FOK,LIMIT,IMMEDIATELY,IOC,ALL,
中金所,期货,单腿,限价单,限价,LIMIT,IMMEDIATELY,GFD,ANY,
,,,,FAK任意成交数量,LIMIT,IMMEDIATELY,IOC,ANY,立即成交剩余指令自动撤销
,,,,FAK指定成交数量,LIMIT,IMMEDIATELY,IOC,MIN,"MinVolume填非0值, 指定数量成交剩余指令自动撤销"
,,,,FOK,LIMIT,IMMEDIATELY,IOC,ALL,立即全部成交否则自动撤销
,,,市价单,五档市价,FIVELEVEL,IMMEDIATELY,IOC,ANY,市价单与对手方五档价格报单尝试成交，剩余未成交部分撤销
,,,,五档市价转限价,FIVELEVEL,IMMEDIATELY,GFD,ANY,市价单与对手方五档价格报单尝试成交，剩余未成交部分转为最新价限价单
,,,,最优价,BEST,IMMEDIATELY,IOC,ANY,市价单与对手方最优一档价格报单尝试成交，剩余未成交部分撤销
,,,,最优价转限价,BEST,IMMEDIATELY,GFD,ANY,市价单与对手方最优一档价格报单尝试成交，剩余未成交部分转为最新价限价单
,期权,单腿,限价单,限价,LIMIT,IMMEDIATELY,GFD,ANY,
,,,,FAK任意成交数量,LIMIT,IMMEDIATELY,IOC,ANY,
,,,,FAK指定成交数量,LIMIT,IMMEDIATELY,IOC,MIN,MinVolume填非0值
,,,,FOK,LIMIT,IMMEDIATELY,IOC,ALL,
